model,size,snapshot,total_samples,correct_samples,accuracy
pythia,large,1000,280,25,0.0893
pythia,large,11000,280,27,0.0964
pythia,large,21000,280,27,0.0964
pythia,large,31000,280,29,0.1036
pythia,large,41000,280,31,0.1107
pythia,large,51000,280,32,0.1143
pythia,large,61000,280,33,0.1179
pythia,large,71000,280,32,0.1143
pythia,large,81000,110,15,0.1364
pythia,medium,1000,280,25,0.0893
pythia,medium,11000,280,25,0.0893
pythia,medium,21000,280,26,0.0929
pythia,medium,31000,280,26,0.0929
pythia,medium,41000,280,26,0.0929
pythia,medium,51000,280,28,0.1
pythia,medium,61000,280,31,0.1107
pythia,medium,71000,280,30,0.1071
pythia,medium,81000,280,31,0.1107
pythia,medium,91000,280,30,0.1071
pythia,medium,101000,280,31,0.1107
pythia,medium,111000,280,31,0.1107
pythia,medium,121000,280,27,0.0964
pythia,medium,131000,280,28,0.1
pythia,medium,141000,280,27,0.0964
